disease	dgnum	dgingraph	lccnum	lccratio	zscore	pvalue
DOID:1727	22	22	6	0.2727272727272727	6.99587500774	0.0008999100089991
DOID:8593	90	86	50	0.5813953488372093	14.7581253756	9.999000099990002e-05
DOID:0050424	46	43	17	0.3953488372093023	11.8714845808	9.999000099990002e-05
DOID:3172	22	22	7	0.3181818181818182	8.51853797602	0.00039996000399960006
DOID:13938	18	18	2	0.1111111111111111	1.3117008263	0.23527647235276472
DOID:3883	52	51	34	0.6666666666666666	21.1261259946	9.999000099990002e-05
DOID:6039	29	28	15	0.5357142857142857	16.3637113009	9.999000099990002e-05
DOID:4897	22	22	5	0.22727272727272727	5.47321203947	0.0033996600339966003
DOID:1287	767	736	598	0.8125	9.31001063821	9.999000099990002e-05
DOID:12134	27	27	11	0.4074074074074074	11.7431441902	9.999000099990002e-05
DOID:2321	27	27	2	0.07407407407407407	0.516071125222	0.44915508449155084
DOID:9840	12	12	5	0.4166666666666667	10.5994924418	0.00019998000199980003
DOID:9675	46	46	10	0.21739130434782608	5.74751307901	0.0028997100289971
DOID:2394	733	669	562	0.8400597907324364	9.84671059035	9.999000099990002e-05
DOID:3181	29	28	13	0.4642857142857143	13.91925023	9.999000099990002e-05
DOID:2769	10	10	3	0.3	6.24190138542	0.005499450054994501
DOID:1612	1465	1402	1298	0.9258202567760342	12.0482610999	9.999000099990002e-05
DOID:14040	10	10	3	0.3	6.24190138542	0.005499450054994501
DOID:13809	36	35	10	0.2857142857142857	8.0314940215	0.00039996000399960006
DOID:9080	150	147	122	0.8299319727891157	14.4400213883	9.999000099990002e-05
DOID:705	31	30	3	0.1	1.52555526737	0.11398860113988601
DOID:2739	18	16	4	0.25	5.63948196989	0.004899510048995101
DOID:3602	35	35	3	0.08571428571428572	1.10062241164	0.16518348165183483
DOID:9952	409	387	251	0.648578811369509	6.0176618951	9.999000099990002e-05
DOID:10652	1311	1224	1055	0.8619281045751634	10.1630515169	9.999000099990002e-05
DOID:1657	16	16	4	0.25	5.63948196989	0.004899510048995101
DOID:10966	19	19	5	0.2631578947368421	6.56209717865	0.0021997800219978004
DOID:3683	759	736	615	0.8355978260869565	9.87329602163	9.999000099990002e-05
DOID:3393	425	401	278	0.6932668329177057	6.67269457848	9.999000099990002e-05
DOID:7725	13	13	2	0.15384615384615385	2.1013965064	0.1316868313168683
DOID:12129	180	174	122	0.7011494252873564	10.3991087765	9.999000099990002e-05
DOID:12783	44	40	4	0.1	1.65292237188	0.08749125087491251
DOID:13976	16	16	2	0.125	1.58550887673	0.18908109189081093
DOID:10908	13	11	2	0.18181818181818182	2.58337085941	0.10318968103189681
DOID:2237	59	59	14	0.23728813559322035	6.34134338336	0.0015998400159984002
DOID:2481	26	25	3	0.12	2.0298339655	0.07329267073292671
DOID:161	13	13	4	0.3076923076923077	7.03251584559	0.0025997400259974
DOID:1040	419	394	322	0.817258883248731	8.75296857922	9.999000099990002e-05
DOID:686	17	16	4	0.25	5.63948196989	0.004899510048995101
DOID:10762	17	17	4	0.23529411764705882	5.23002697254	0.005499450054994501
DOID:5419	842	774	591	0.7635658914728682	7.94095233697	9.999000099990002e-05
DOID:870	24	22	2	0.09090909090909091	0.90522313464	0.33356664333566644
DOID:9169	10	10	8	0.8	22.5793912703	9.999000099990002e-05
DOID:8566	11	11	4	0.36363636363636365	8.39980868316	0.0007999200079992001
DOID:1825	26	22	2	0.09090909090909091	0.90522313464	0.33356664333566644
DOID:9563	23	23	6	0.2608695652173913	6.51973016033	0.0014998500149985001
DOID:3044	22	21	5	0.23809523809523808	5.62458579376	0.0033996600339966003
DOID:3113	77	77	52	0.6753246753246753	18.2483023038	9.999000099990002e-05
DOID:1790	26	26	5	0.19230769230769232	4.49703645619	0.008999100089991
DOID:10825	73	66	8	0.12121212121212122	2.18432908705	0.05349465053494651
